alpha,policy,throughput_mbps,sensing_score,total_power_w,avg_sinr_db,avg_cqi,avg_sensing_split,reward
0.0,dqn,132.3941396825348,5.081190834106805,165.01333688100178,16.847712054420132,5.6419999999999995,0.6099999932199717,0.47058763255675634
0.0,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.42475704178214074
0.0,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.42339103470246
0.0,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.42008084878325463
0.1,dqn,133.35006849113014,5.125988299918391,165.92000343004864,16.9507130715484,5.662222222222223,0.603999993354082,0.4594455083211263
0.1,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.4173815995454788
0.1,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.4158463192482789
0.1,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.41211946060260135
0.2,dqn,135.20966590710142,5.072605360738579,170.6666704575221,17.080221394522873,5.699555555555556,0.5706666616350412,0.4409677277008692
0.2,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.41000615457693734
0.2,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.40830160354574524
0.2,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.40415807167689005
0.3,dqn,135.49242858489893,4.999335478823761,170.29333690007527,17.182621718452154,5.721333333333334,0.5346666640043259,0.42427291149894397
0.3,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.40263071060180666
0.3,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.4007568880915642
0.3,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.39619668225447335
0.4,dqn,138.16420841524578,4.862566919091449,171.62667038440705,17.395953547968592,5.7942222222222215,0.4840000002086163,0.40728498895963033
0.4,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.39525526960690816
0.4,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.3932121738791466
0.4,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.38823528389136
0.5,dqn,139.85850128184634,4.680631965078622,169.38667029539744,17.529630271801164,5.820888888888889,0.4233333355933428,0.391097783545653
0.5,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.38787982960542045
0.5,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.38566745867331825
0.5,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.38027389695247016
0.6,dqn,142.24949811670578,4.472560177805283,169.17333681583403,17.696073829547434,5.862666666666667,0.35733333811163903,0.3783927982052167
0.6,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.38050438414017357
0.6,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.3781227494279544
0.6,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.37231251448392866
0.7,dqn,143.39269898294847,4.340132901196948,172.9600035429001,17.813201144312725,5.933111111111112,0.30400000579655173,0.3694005916515986
0.7,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.3731289381782214
0.7,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.37057803173859916
0.7,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.3643511215845744
0.8,dqn,144.78408266040074,3.9692498790555204,172.16000372568766,17.928102896809566,5.947777777777778,0.2353333371132612,0.36103400761882465
0.8,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.36575349867343904
0.8,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.3630333150426547
0.8,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.35638973315556843
0.9,dqn,145.7615238848619,3.8554234814942965,170.98667042255403,17.98980018692937,5.956666666666666,0.2073333378881216,0.3613240661720435
0.9,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.3583780546983083
0.9,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.35548860132694243
0.9,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.34842834224303565
1.0,dqn,146.3212530937745,3.7294289846851734,169.9733370065689,18.07286431197107,5.987555555555556,0.18200000405311584,0.36381241530179975
1.0,fixed_0.8w,143.82524979836404,4.7218836381706994,192.00000286102295,17.963622609953138,6.022666666666667,0.30000001192092896,0.35100260724624
1.0,max_power,142.5940324861132,4.708373886188076,192.00000762939453,17.85934105486303,5.994222222222222,0.30000001192092896,0.3479438823958238
1.0,random,136.69251974906052,4.571281270971154,166.24000356992084,17.213885586983647,5.828222222222222,0.3933333334326744,0.3404669550557931
